lea_id,state,district_name,esb_committed,committed,total_buses,contractor,locale,region,pct_frl,pct_poverty,income_med,pct_nonwhite_hisp,pm25,ozone,asthma18p,pod,applied_not_awarded,arp_qualified,epa2022_prioritized,epa2023_prioritized,pct_esb_fleet
3629370,NEW YORK,UTICA CITY SCHOOL DISTRICT,0,0,NA,NA,Urban,Northeast,76,28,43509,43.4,6.5,53.2,11.6,0,NA,0,1,1,0
3629400,NEW YORK,VALHALLA UNION FREE SCHOOL DISTRICT,0,0,1,NA,Suburban,Northeast,21,4,130167,45.2,8.4,68.1,9.3,0,NA,1,0,0,0
3629430,NEW YORK,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,17,3.6,139607,65.9,7.7,68,9.2,0,NA,0,0,0,0
3629460,NEW YORK,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,40,3.2,100915,59,7.6,67.1,8.9,0,NA,0,0,0,0
3629490,NEW YORK,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,31,6.4,116415,79.8,7.6,67.3,9.1,0,NA,0,0,0,0
3629520,NEW YORK,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,37,4.3,125807,62.8,7.6,67.7,9.1,0,NA,0,0,0,0
3629610,NEW YORK,VESTAL CENTRAL SCHOOL DISTRICT,0,0,60,NA,Suburban,Northeast,29,13.4,75060,16.1,7,52.8,10,0,NA,0,0,0,0
3629640,NEW YORK,VICTOR CENTRAL SCHOOL DISTRICT,0,0,77,NA,Suburban,Northeast,24,3.9,88709,8.7,6.6,56.4,8.8,0,NA,0,0,0,0
3629670,NEW YORK,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,0,0,27,NA,Rural,Northeast,14,4,107423,16.7,6.8,53.4,9.2,0,NA,0,0,0,0
3629760,NEW YORK,WAINSCOTT COMMON SCHOOL DISTRICT,0,0,NA,NA,Rural,Northeast,0,10.4,154554,25.1,5.9,70.8,8.2,0,NA,0,1,0,0
3629790,NEW YORK,WALLKILL CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,33,17.6,94719,31.1,7.2,57,9.7,0,NA,0,0,0,0
3629820,NEW YORK,WALTON CENTRAL SCHOOL DISTRICT,0,0,15,NA,Town,Northeast,49,21.1,45587,5.6,6.2,53.1,10.1,0,NA,0,0,1,0
3629850,NEW YORK,WANTAGH UNION FREE SCHOOL DISTRICT,0,0,2,NA,Suburban,Northeast,8,3.9,168440,11.9,7.2,67.9,8.8,0,NA,0,0,0,0
3629880,NEW YORK,WAPPINGERS CENTRAL SCHOOL DISTRICT,0,0,245,NA,Suburban,Northeast,24,4.7,101407,27,7.4,60.1,9.5,0,NA,0,0,0,0
3629910,NEW YORK,WARRENSBURG CENTRAL SCHOOL DISTRICT,0,0,13,NA,Town,Northeast,59,7.8,59593,5.7,6,51.5,10.3,0,NA,0,0,1,0
3629940,NEW YORK,WARSAW CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Town,Northeast,47,9.6,49817,5,6.6,56.3,10.3,0,NA,0,0,0,0
3629970,NEW YORK,WARWICK VALLEY CENTRAL SCHOOL DISTRICT,0,0,69,NA,Town,Northeast,6,5.3,119034,19.3,7.3,59.4,9,0,NA,0,0,0,0
3630030,NEW YORK,WASHINGTONVILLE CENTRAL SCHOOL DISTRICT,0,0,70,NA,Suburban,Northeast,32,7.2,92060,32.1,7.4,58.8,9.2,0,NA,0,0,0,0
3630060,NEW YORK,WATERFORD-HALFMOON UNION FREE SCHOOL DISTRICT,0,0,3,NA,Rural,Northeast,39,6.7,67841,9.8,7.2,54.5,10.1,0,NA,0,0,0,0
3630120,NEW YORK,WATERTOWN CITY SCHOOL DISTRICT,0,0,NA,1,Urban,Northeast,68,17.8,50571,16.1,6.2,53.9,10.9,0,NA,0,1,1,0
3630160,NEW YORK,WATERVILLE CENTRAL SCHOOL DISTRICT,0,0,23,NA,Rural,Northeast,48,7.6,62727,6.9,6.3,53.4,10.1,0,NA,0,1,0,0
3630210,NEW YORK,WATERVLIET CITY SCHOOL DISTRICT,0,0,3,NA,Suburban,Northeast,67,18.1,50551,30.4,7.2,55.1,10.8,0,NA,0,0,1,0
3630240,NEW YORK,WATKINS GLEN CENTRAL SCHOOL DISTRICT,0,0,27,NA,Town,Northeast,41,12.5,60975,7.3,6.5,53.4,10.5,0,NA,0,0,0,0
3630270,NEW YORK,WAVERLY CENTRAL SCHOOL DISTRICT,0,0,18,NA,Town,Northeast,50,10.9,51813,7.3,6.8,53,10.6,0,NA,0,0,0,0
3630330,NEW YORK,WAYNE CENTRAL SCHOOL DISTRICT,0,0,48,NA,Suburban,Northeast,38,6.1,79559,9.4,6.6,58.8,9.7,0,NA,0,0,0,0
3630360,NEW YORK,WEBSTER CENTRAL SCHOOL DISTRICT,0,0,176,NA,Suburban,Northeast,27,4.4,90243,11,6.7,59.3,9.2,0,NA,0,0,0,0
